example_id                                                                                 | status | run_time        |
./spec/models/spree/return_authorization_decorator_spec.rb[1:1:2]                          | failed | 0.52965 seconds |
./spec/models/spree/return_authorization_decorator_spec.rb[1:2:1:1:1:1]                    | passed | 0.54964 seconds |
./spec/models/spree/return_authorization_decorator_spec.rb[1:2:1:2:1:1]                    | passed | 0.69154 seconds |
./spec/models/spree/return_authorization_decorator_spec.rb[1:2:1:3:1:1]                    | passed | 0.39838 seconds |
./spec/models/spree/return_authorization_decorator_spec.rb[1:2:2:1:1:1]                    | passed | 0.52621 seconds |
./spec/models/spree/return_authorization_decorator_spec.rb[1:3:1:1:1:1]                    | passed | 0.48098 seconds |
./spec/models/spree/return_authorization_decorator_spec.rb[1:3:1:1:2:1]                    | passed | 0.36827 seconds |
./spec/models/spree/return_authorization_decorator_spec.rb[1:3:1:2:1:1:1]                  | passed | 0.66194 seconds |
./spec/models/spree/return_authorization_decorator_spec.rb[1:3:1:2:1:2:1]                  | passed | 0.49416 seconds |
./spec/models/spree/return_authorization_decorator_spec.rb[1:3:1:2:1:3:1]                  | passed | 0.50808 seconds |
./spec/models/spree/return_authorization_decorator_spec.rb[1:3:1:2:2:1:1]                  | passed | 0.52244 seconds |
./spec/models/spree/return_authorization_decorator_spec.rb[1:3:1:2:2:2:1]                  | passed | 0.58312 seconds |
./spec/models/spree/return_authorization_decorator_spec.rb[1:3:1:2:2:3:1]                  | passed | 0.6581 seconds  |
./spec/models/spree/return_authorization_decorator_spec.rb[1:4:1:1:1]                      | passed | 0.64322 seconds |
./spec/models/spree/return_authorization_decorator_spec.rb[1:4:1:1:2]                      | passed | 0.93482 seconds |
./spec/models/spree/return_authorization_decorator_spec.rb[1:4:1:2:1]                      | passed | 0.67378 seconds |
./spec/models/spree/return_authorization_decorator_spec.rb[1:4:2:1]                        | passed | 0.67203 seconds |
./spec/models/spree/user_decorator_spec.rb[1:1]                                            | passed | 0.00338 seconds |
./spec/models/spree/user_decorator_spec.rb[1:2]                                            | passed | 0.00329 seconds |
./spec/models/spree/user_decorator_spec.rb[1:3]                                            | passed | 0.00301 seconds |
./spec/models/spree/user_decorator_spec.rb[1:4]                                            | passed | 0.00381 seconds |
./spec/models/spree/user_decorator_spec.rb[1:5]                                            | passed | 0.00828 seconds |
./spec/models/spree/user_decorator_spec.rb[1:6]                                            | passed | 0.01347 seconds |
./spec/models/spree/user_decorator_spec.rb[1:7:1:1]                                        | passed | 0.00424 seconds |
./spec/models/spree/user_decorator_spec.rb[1:7:2:1]                                        | passed | 0.00411 seconds |
./spec/models/spree/user_decorator_spec.rb[1:7:3:1]                                        | passed | 0.00409 seconds |
./spec/models/spree/user_decorator_spec.rb[1:8:1:1]                                        | passed | 0.85838 seconds |
./spec/models/spree/user_decorator_spec.rb[1:8:2:1]                                        | passed | 0.68974 seconds |
./spec/models/spree/user_decorator_spec.rb[1:8:3:1]                                        | passed | 0.66898 seconds |
./spec/models/spree/user_decorator_spec.rb[1:9:1]                                          | passed | 0.00406 seconds |
